Gene,highly_variable
CLCN6,False
PLOD1,False
MFN2,False
MIIP,False
VPS13D,True
C1orf158,False
PDPN,True
PRDM2,False
KAZN,False
TMEM51,False
EFHD2,False
DNAJC16,False
DDI2,True
PLEKHM2,False
SLC25A34,False
FBLIM1,True
SPEN,False
SZRD1,False
NECAP2,False
RP4-798A10.2,False
CROCC,False
ARHGEF10L,False
IGSF21,True
PAX7,False
RP1-43E13.2,False
MRTO4,False
PQLC2,False
MINOS1,False
NBL1,True
OTUD3,False
UBXN10,False
FAM43B,False
PINK1,False
NBPF3,False
ALPL,False
LINC00339,False
CDC42,False
RP1-224A6.9,False
ZBTB40,False
C1QA,True
EPHB2,False
RP1-74M1.3,False
KDM1A,False
C1orf213,False
RPL11,False
TCEB3,False
PITHD1,False
LYPLA2,False
PNRC2,False
NIPAL3,False
RCAN3,True
SRRM1,False
CLIC4,False
RP3-465N24.6,True
TMEM50A,False
TMEM57,False
LDLRAP1,False
MAN1C1,True
MTFR1L,False
EXTL1,False
PDIK1L,False
FAM110D,True
ZNF593,False
CNKSR1,False
CEP85,False
SH3BGRL3,False
DHDDS,False
HMGN2,True
RPS6KA1,False
ARID1A,False
PIGV,False
ZDHHC18,False
NUDC,False
TRNP1,False
WDTC1,False
TMEM222,False
GPR3,False
FAM76A,False
STX12,False
PPP1R8,False
THEMIS2,False
XKR8,False
ATPIF1,False
SESN2,False
MED18,False
PHACTR4,False
RCC1,False
TRNAU1AP,False
RAB42,False
GMEB1,False
YTHDF2,False
EPB41,True
PTPRU,False
MATN1-AS1,True
ZCCHC17,False
SERINC2,False
KHDRBS1,False
TMEM39B,False
KPNA6,False
TXLNA,False
CCDC28B,False
IQCC,False
EIF3I,False
HDAC1,False
ZBTB8A,False
RBBP4,False
KIAA1522,False
S100PBP,False
HPCA,False
ADC,True
ZNF362,False
ZSCAN20,False
C1orf94,False
ZMYM1,False
ZMYM4,False
NCDN,True
TFAP2E,False
AGO4,False
AGO1,True
AGO3,True
TEKT2,False
ADPRHL2,False
MAP7D1,False
THRAP3,False
SH3D21,False
RP11-268J15.5,False
ZC3H12A,False
DNALI1,False
CDCA8,False
MANEAL,False
C1orf122,False
UTP11L,False
RP5-864K19.4,False
AKIRIN1,False
NDUFS5,False
MACF1,False
PPIE,True
MFSD2A,False
CAP1,False
RLF,False
ZMPSTE24,False
SMAP2,False
ZFP69B,True
ZFP69,False
EXO5,False
ZNF684,False
NFYC,False
CTPS1,False
FOXO6,False
RIMKLA,False
PPCS,False
CCDC30,True
PPIH,False
RP5-994D16.3,False
YBX1,False
C1orf50,False
ERMAP,False
ZNF691,False
FAM183A,True
WDR65,True
CDC20,True
SZT2,True
PTPRF,False
KDM4A,False
ST3GAL3,False
IPO13,False
DPH2,False
ATP6V0B,False
B4GALT2,False
CCDC24,False
DMAP1,False
RNF220,False
C1orf228,True
KIF2C,False
RPS8,False
PLK3,True
BTBD19,False
UROD,False
HPDL,False
TOE1,False
MMACHC,False
AKR1A1,False
NASP,True
TMEM69,False
MAST2,False
TSPAN1,False
LURAP1,True
RAD54L,True
UQCRH,False
NSUN4,False
FAAH,False
DMBX1,False
CYP4X1,False
CMPK1,False
ELAVL4,True
CDKN2C,False
RNF11,False
OSBPL9,False
RP4-657D16.3,False
BTF3L4,False
ZFYVE9,True
PRPF38A,False
RP11-25O10.2,False
GPX7,False
ZYG11B,False
SCP2,False
PODN,False
CPT2,False
RP5-1024G6.5,True
LRRC42,False
TCEANC2,False
MRPL37,False
ACOT11,False
TTC4,False
PCSK9,True
PRKAA2,False
RP6-102O10.1,False
FGGY,True
HOOK1,False
NFIA,True
INADL,False
L1TD1,False
USP1,True
RP11-230B22.1,False
ATG4C,False
ALG6,False
EFCAB7,False
DLEU2L,True
PGM1,True
ROR1,False
CACHD1,False
RAVER2,False
AK4,True
DNAJC6,False
LEPR,False
LEPROT,False
PDE4B,False
SGIP1,False
MIER1,False
GADD45A,True
GNG12-AS1,False
LRRC7,True
SRSF11,False
HHLA3,False
CTH,False
RP11-42O15.3,False
TNNI3K,False
TYW3,True
ACADM,False
RABGGTB,False
ST6GALNAC3,False
RP5-1102E8.3,False
ST6GALNAC5,True
AK5,True
FAM73A,False
NEXN,True
PTGFR,False
IFI44L,True
IFI44,False
LPHN2,False
RP5-836J3.1,False
PRKACB,True
RPF1,False
CYR61,True
SH3GLB1,True
HS2ST1,False
LMO4,True
PKN2,False
LRRC8B,False
LRRC8D,False
ZNF326,False
CDC7,False
EPHX4,False
BTBD8,True
KIAA1107,True
RPAP2,False
RPL5,False
MTF2,False
CCDC18,False
DR1,False
FNBP1L,False
ABCD3,False
SLC44A3,False
RP4-639F20.1,True
PTBP2,False
SNX7,True
LPPR4,True
PALMD,True
AGL,False
SLC35A3,False
HIAT1,False
TRMT13,False
RTCA,False
CDC14A,False
VCAM1,True
RP4-549L20.3,True
SLC30A7,False
RP11-421L21.3,False
S1PR1,True
RNPC3,True
AMY2B,False
PRMT6,False
NTNG1,False
RP11-483I13.5,False
PRPF38B,False
STXBP3,True
GPSM2,False
TMEM167B,False
KIAA1324,True
SARS,False
CELSR2,False
ATXN7L2,False
GNAI3,False
RP5-1160K1.3,False
AMPD2,False
GSTM2,False
GSTM5,False
CSF1,False
AHCYL1,False
STRIP1,False
SLC6A17,False
RBM15,False
RP5-1074L1.4,False
CEPT1,False
PIFO,False
ATP5F1,False
RAP1A,False
FAM212B-AS1,False
DDX20,False
RP11-88H9.2,False
CTTNBP2NL,False
WNT2B,True
CAPZA1,False
MOV10,False
RP3-522D1.1,False
SLC16A1-AS1,True
LRIG2,False
MAGI3,False
DCLRE1B,False
HIPK1,False
OLFML3,False
VANGL1,False
SLC22A15,False
ATP1A1,False
PTGFRN,False
TTF2,True
